max_seq_len,batch_size,max_clip_length,accumulate
2,64,1,1
3,64,1.4,1
4,64,1.7,1
5,64,2,1
6,64,2.3,1
7,64,2.6,1
8,64,2.9,1
9,32,3.2,2
10,32,3.5,2
11,32,3.8,2
12,32,4,2
13,32,4.3,2
14,32,4.6,2
15,32,4.8,2
16,32,5.1,2
17,32,5.4,2
18,32,5.6,2
19,16,5.9,4
20,16,6.2,4
21,16,6.5,4
22,16,6.7,4
23,16,7,4
24,16,7.2,4
25,16,7.5,4
26,16,7.8,4
27,16,8.1,4
28,16,8.4,4
29,16,8.8,4
30,16,9.1,4
31,16,9.5,4
32,16,10,4
33,16,10.4,4
34,8,12.7,8
35,8,13.3,8
36,8,13.9,8
37,8,14,8
38,8,14,8
39,8,14,8
40,8,14,8
41,8,14,8
42,8,14,8
43,8,14,8
44,8,14,8
45,8,14,8
46,8,14,8
47,8,14,8
48,8,14,8
49,8,14,8
50,8,14,8
51,8,14,8
52,8,14,8
53,8,14,8
54,8,14,8
55,8,14,8
56,8,14,8
57,8,14,8
58,8,14,8
